site,source_id,league,date,kickoff,home_team,away_team,market,pick,p1,p2,p3,note,scraped_at
sportsgambler,hull-vs-manchester-united,Premier League,2026-08-22,14:30 - Sat 22 Aug,Hull,Manchester United,correct_score,1 - 2,,,,Hull Asian Hcp +1.5 @ 1.82,2026-08-22T03:23:55Z
sportsgambler,ipswich-vs-sunderland,Premier League,2026-08-22,17:00 - Sat 22 Aug,Ipswich,Sunderland,correct_score,1 - 1,,,,Both Teams To Score - Yes @ 1.68,2026-08-22T03:23:55Z
sportsgambler,nottingham-forest-vs-leeds,Premier League,2026-08-22,17:00 - Sat 22 Aug,Nottingham Forest,Leeds,correct_score,1 - 0,,,,Forest To Win @ 2.30,2026-08-22T03:23:55Z
sportsgambler,everton-vs-crystal-palace,Premier League,2026-08-22,17:00 - Sat 22 Aug,Everton,Crystal Palace,correct_score,2 - 1,,,,Over 2.5 Goals @ 1.89,2026-08-22T03:23:55Z
sportsgambler,brentford-vs-tottenham,Premier League,2026-08-22,19:30 - Sat 22 Aug,Brentford,Tottenham,correct_score,1 - 0,,,,Brentford Asian Hcp 0.0 @ 1.75,2026-08-22T03:23:55Z
sportsgambler,brighton-vs-aston-villa,Premier League,2026-08-23,16:00 - Sun 23 Aug,Brighton,Aston Villa,correct_score,2 - 1,,,,Brighton To Win @ 2.23,2026-08-22T03:23:55Z
sportsgambler,manchester-city-vs-bournemouth,Premier League,2026-08-23,16:00 - Sun 23 Aug,Manchester City,Bournemouth,correct_score,1 - 1,,,,Bournemouth Asian Hcp +1.25 @ 1.91,2026-08-22T03:23:55Z
sportsgambler,newcastle-vs-liverpool,Premier League,2026-08-23,18:30 - Sun 23 Aug,Newcastle,Liverpool,correct_score,1 - 1,,,,Newcastle Asian Hcp +0.5 @ 1.96,2026-08-22T03:23:55Z
sportsgambler,athletic-club-vs-sevilla,LaLiga,2026-08-22,18:00 - Sat 22 Aug,Athletic Club,Sevilla,correct_score,1 - 0,,,,Under 2.5 Goals @ 1.67,2026-08-22T03:23:55Z
sportsgambler,valencia-vs-celta-vigo,LaLiga,2026-08-22,20:30 - Sat 22 Aug,Valencia,Celta Vigo,correct_score,0 - 1,,,,Celta Asian Hcp +0.25 @ 1.81,2026-08-22T03:23:55Z
sportsgambler,espanyol-vs-real-madrid,LaLiga,2026-08-22,22:30 - Sat 22 Aug,Espanyol,Real Madrid,correct_score,1 - 1,,,,Espanyol Asian Hcp +1.25 @ 1.91,2026-08-22T03:23:55Z
sportsgambler,atletico-madrid-vs-villarreal,LaLiga,2026-08-23,18:00 - Sun 23 Aug,Atlético Madrid,Villarreal,correct_score,1 - 0,,,,Atléti To Win @ 1.86,2026-08-22T03:23:55Z
sportsgambler,getafe-vs-racing-club-santander,LaLiga,2026-08-23,20:30 - Sun 23 Aug,Getafe,Racing Club,correct_score,0 - 1,,,,Racing Asian Hcp +0.25 @ 1.95,2026-08-22T03:23:55Z
sportsgambler,elche-vs-barcelona,LaLiga,2026-08-23,22:30 - Sun 23 Aug,Elche,Barcelona,correct_score,0 - 1,,,,Elche Asian Hcp +1.5 @ 1.97,2026-08-22T03:23:55Z
sportsgambler,inter-milan-vs-monza,Serie A,2026-08-22,19:30 - Sat 22 Aug,Inter Milan,Monza,correct_score,1 - 0,,,,Monza Asian Hcp +1.75 @ 2.02,2026-08-22T03:23:55Z
sportsgambler,udinese-vs-como,Serie A,2026-08-22,19:30 - Sat 22 Aug,Udinese,Como,correct_score,0 - 1,,,,Under 2.5 Goals @ 1.70,2026-08-22T03:23:55Z
sportsgambler,genoa-vs-napoli,Serie A,2026-08-22,21:45 - Sat 22 Aug,Genoa,Napoli,correct_score,0 - 1,,,,Napoli To Win @ 1.83,2026-08-22T03:23:55Z
sportsgambler,parma-vs-cagliari,Serie A,2026-08-22,21:45 - Sat 22 Aug,Parma,Cagliari,correct_score,0 - 1,,,,Cagliari Asian Hcp +0.25 @ 1.67,2026-08-22T03:23:55Z
sportsgambler,frosinone-vs-juventus,Serie A,2026-08-23,19:30 - Sun 23 Aug,Frosinone,Juventus,correct_score,1 - 1,,,,Frosinone Asian Hcp +1.25 @ 1.82,2026-08-22T03:23:55Z
sportsgambler,venezia-vs-lecce,Serie A,2026-08-23,19:30 - Sun 23 Aug,Venezia,Lecce,correct_score,2 - 1,,,,Venezia To Win @ 2.20,2026-08-22T03:23:55Z
sportsgambler,torino-vs-ac-milan,Serie A,2026-08-23,21:45 - Sun 23 Aug,Torino,AC Milan,correct_score,0 - 2,,,,Milan To Win @ 1.72,2026-08-22T03:23:55Z
sportsgambler,atalanta-vs-sassuolo,Serie A,2026-08-23,21:45 - Sun 23 Aug,Atalanta,Sassuolo,correct_score,1 - 1,,,,Sassuolo Asian Hcp +1 @ 2.00,2026-08-22T03:23:55Z
sportsgambler,lens-vs-auxerre,Ligue 1,2026-08-22,18:15 - Sat 22 Aug,Lens,Auxerre,correct_score,1 - 1,,,,Auxerre Asian Hcp +1 @ 1.98,2026-08-22T03:23:55Z
sportsgambler,nice-vs-lorient,Ligue 1,2026-08-22,21:45 - Sat 22 Aug,Nice,Lorient,correct_score,1 - 1,,,,Lorient Asian Hcp +0.5 @ 1.79,2026-08-22T03:23:55Z
sportsgambler,toulouse-vs-lyon,Ligue 1,2026-08-22,21:45 - Sat 22 Aug,Toulouse,Lyon,correct_score,2 - 1,,,,Over 2.5 Goals @ 1.74,2026-08-22T03:23:55Z
sportsgambler,angers-vs-lille,Ligue 1,2026-08-23,16:00 - Sun 23 Aug,Angers,Lille,correct_score,1 - 1,,,,Under 2.5 Goals @ 1.85,2026-08-22T03:23:55Z
sportsgambler,le-havre-vs-monaco,Ligue 1,2026-08-23,18:15 - Sun 23 Aug,Le Havre,Monaco,correct_score,1 - 1,,,,Le Havre Asian Hcp +0.5 @ 2.00,2026-08-22T03:23:55Z
sportsgambler,rennes-vs-psg,Ligue 1,2026-08-23,21:45 - Sun 23 Aug,Rennes,PSG,correct_score,2 - 2,,,,Rennes Asian Hcp +1.25 @ 1.83,2026-08-22T03:23:55Z
sportsgambler,fortuna-sittard-vs-az-alkmaar,Eredivisie,2026-08-22,17:30 - Sat 22 Aug,Fortuna Sittard,AZ Alkmaar,correct_score,0 - 2,,,,AZ Alkmaar To Win @ 1.58,2026-08-22T03:23:55Z
sportsgambler,sparta-rotterdam-vs-utrecht,Eredivisie,2026-08-22,19:45 - Sat 22 Aug,Sparta Rotterdam,FC Utrecht,correct_score,1 - 2,,,,Utrecht Asian Hcp +0.25 @ 1.67,2026-08-22T03:23:55Z
sportsgambler,heerenveen-vs-pec-zwolle,Eredivisie,2026-08-22,22:00 - Sat 22 Aug,Heerenveen,PEC Zwolle,correct_score,2 - 0,,,,Heerenveen Asian Hcp -1 @ 1.89,2026-08-22T03:23:55Z
