site,team_name,canonical_id
eaglepredict,Levante UD,levante
eaglepredict,Elche CF,elche
eaglepredict,Famalicão,fc-famalic-o
eaglepredict,CS Marítimo,mar-timo
eaglepredict,Casa Pia,casa-pia-ac
eaglepredict,Benfica,sl-benfica
whoscored,SC Heerenveen,heerenveen
whoscored,Nacional,nacional-madeira
whoscored,Estoril,gd-estoril
whoscored,Arouca,fc-arouca
whoscored,Moreirense,moreirense-fc
whoscored,Famalicao,fc-famalic-o
whoscored,Maritimo,mar-timo
whoscored,Benfica,sl-benfica
whoscored,Deportivo de A Coruna,deportivo-la-coru-a
whoscored,Deportivo Alaves,deportivo-alav-s
whoscored,NEC Nijmegen,nijmegen
whoscored,Telstar,sc-telstar
whoscored,Willem II,willem-ii-tilburg
whoscored,FC Groningen,groningen
whoscored,FC Utrecht,utrecht
whoscored,Vitoria de Guimaraes,vit-ria
whoscored,Estrela da Amadora,estrela-amadora
whoscored,FC Porto,porto
whoscored,Alverca,fc-alverca
whoscored,Academico Viseu,acad-mico-viseu
whoscored,Braga,sporting-braga
whoscored,Atletico Madrid,atl-tico-madrid
whoscored,Malaga,m-laga-cf
forebet,Coventry City,coventry
eaglepredict,Coventry City,coventry
forebet,Hull City,hull
eaglepredict,Hull City,hull
flashscore,Manchester Utd,manchester-united
eaglepredict,Betis,real-betis
flashscore,Betis,real-betis
forebet,Ipswich Town,ipswich
eaglepredict,Ipswich Town,ipswich
whoscored,Leeds,leeds-united
flashscore,Leeds,leeds-united
whoscored,Nottingham,nottingham-forest
flashscore,Nottingham,nottingham-forest
sportsgambler,Leeds,leeds-united
sportsgambler,Inter Milan,inter
eaglepredict,Internazionale,inter
sportsgambler,Racing Club,racing-santander
sportsgambler,FC Utrecht,utrecht
sportsgambler,FC Groningen,groningen
eaglepredict,PSV,psv-eindhoven
eaglepredict,GD Estoril Praia,gd-estoril
eaglepredict,Rio Ave FC,rio-ave
sportsgambler,Estoril,gd-estoril
sportsgambler,Sporting,sporting-cp
sportsgambler,Alverca,fc-alverca
eaglepredict,Alverca,fc-alverca
sportsgambler,Nacional,nacional-madeira
eaglepredict,Vitória Guimarães,vit-ria
eaglepredict,CD Nacional,nacional-madeira
sportsgambler,Famalicão,fc-famalic-o
sportsgambler,Arouca,fc-arouca
whoscored,Arouca,fc-arouca
sportytrader,Leeds,leeds-united
sportytrader,Ipswich Town,ipswich
sportytrader,Inter Milan,inter
sportytrader,Estoril,gd-estoril
sportytrader,Como 1907,como
sportytrader,Le Mans FC,le-mans
sportytrader,Zwolle,pec-zwolle
sportytrader,Maritimo,mar-timo
sportytrader,Academico De Viseu FC,acad-mico-viseu
eaglepredict,Academico Viseu,acad-mico-viseu
sportsgambler,Athletic Club,athletic-bilbao
whoscored,Athletic Club,athletic-bilbao
sportytrader,Atletico Madrid,atl-tico-madrid
flashscore,Atl. Madrid,atl-tico-madrid
flashscore,Malaga,m-laga-cf
flashscore,Dep. A Coruna,deportivo-la-coru-a
sportsgambler,Málaga,m-laga-cf
sportsgambler,Deportivo,deportivo-la-coru-a
sportytrader,Torino FC,torino
flashscore,AC Milan,milan
whoscored,AC Milan,milan
sportsgambler,AC Milan,milan
sportytrader,AC Milan,milan
sportytrader,ADO The Hague,ado-den-haag
sportytrader,Vitoria SC Guimaraes,vit-ria
forebet,Newcastle United,newcastle
forebet,Le Mans FC,le-mans
forebet,Calcio Como,como
eaglepredict,Celta de Vigo,celta-vigo
eaglepredict,AZ,az-alkmaar
eaglepredict,Paris,paris-fc
sportsgambler,Casa Pia,casa-pia-ac
sportytrader,Casa Pia Lisbon,casa-pia-ac
sportytrader,Famalicao,fc-famalic-o
sportytrader,Málaga,m-laga-cf
sportytrader,La Coruna,deportivo-la-coru-a
whoscored,Paris Saint-Germain,psg
flashscore,AS Roma,roma
flashscore,Ath Bilbao,athletic-bilbao
sportytrader,Betis,real-betis
whoscored,Parma Calcio 1913,parma
flashscore,Zwolle,pec-zwolle
eaglepredict,NEC,nijmegen
sportsgambler,NEC Nijmegen,nijmegen
flashscore,G.A. Eagles,go-ahead-eagles
flashscore,Dortmund,borussia-dortmund
eaglepredict,Köln,fc-koln
forebet,Köln,fc-koln
flashscore,Mainz,mainz-05
forebet,Mainz,mainz-05
sportsgambler,Borussia Monchengladbach,borussia-m-gladbach
forebet,SV Elversberg,elversberg
flashscore,Schalke,schalke-04
flashscore,Marseille,olympique-marseille
whoscored,Marseille,olympique-marseille
