site,team_name,canonical_id
eaglepredict,ADO Den Haag,ado-den-haag
eaglepredict,AZ,az-alkmaar
eaglepredict,Academico Viseu,acad-mico-viseu
eaglepredict,Ajax,ajax
eaglepredict,Alverca,fc-alverca
eaglepredict,Angers,angers
eaglepredict,Arsenal,arsenal
eaglepredict,Aston Villa,aston-villa
eaglepredict,Atalanta,atalanta
eaglepredict,Athletic Bilbao,athletic-bilbao
eaglepredict,Atlético Madrid,atl-tico-madrid
eaglepredict,Augsburg,augsburg
eaglepredict,Auxerre,auxerre
eaglepredict,Barcelona,barcelona
eaglepredict,Bayer Leverkusen,bayer-leverkusen
eaglepredict,Bayern München,bayern-m-nchen
eaglepredict,Benfica,sl-benfica
eaglepredict,Betis,real-betis
eaglepredict,Bologna,bologna
eaglepredict,Borussia Dortmund,borussia-dortmund
eaglepredict,Borussia M'gladbach,borussia-m-gladbach
eaglepredict,Bournemouth,bournemouth
eaglepredict,Brentford,brentford
eaglepredict,Brest,brest
eaglepredict,Brighton,brighton
eaglepredict,CD Nacional,nacional-madeira
eaglepredict,CS Marítimo,mar-timo
eaglepredict,Cagliari,cagliari
eaglepredict,Cambuur,cambuur
eaglepredict,Casa Pia,casa-pia-ac
eaglepredict,Celta de Vigo,celta-vigo
eaglepredict,Chelsea,chelsea
eaglepredict,Como,como
eaglepredict,Coventry City,coventry
eaglepredict,Crystal Palace,crystal-palace
eaglepredict,Deportivo Alavés,deportivo-alav-s
eaglepredict,Deportivo La Coruña,deportivo-la-coru-a
eaglepredict,Eintracht Frankfurt,eintracht-frankfurt
eaglepredict,Elche CF,elche
eaglepredict,Elversberg,elversberg
eaglepredict,Espanyol,espanyol
eaglepredict,Estrela Amadora,estrela-amadora
eaglepredict,Everton,everton
eaglepredict,Excelsior,excelsior
eaglepredict,FC Arouca,fc-arouca
eaglepredict,Famalicão,fc-famalic-o
eaglepredict,Feyenoord,feyenoord
eaglepredict,Fiorentina,fiorentina
eaglepredict,Fortuna Sittard,fortuna-sittard
eaglepredict,Freiburg,freiburg
eaglepredict,Frosinone,frosinone
eaglepredict,Fulham,fulham
eaglepredict,GD Estoril Praia,gd-estoril
eaglepredict,Genoa,genoa
eaglepredict,Getafe,getafe
eaglepredict,Gil Vicente,gil-vicente
eaglepredict,Go Ahead Eagles,go-ahead-eagles
eaglepredict,Groningen,groningen
eaglepredict,Hamburger SV,hamburger-sv
eaglepredict,Heerenveen,heerenveen
eaglepredict,Hoffenheim,hoffenheim
eaglepredict,Hull City,hull
eaglepredict,Internazionale,inter
eaglepredict,Ipswich Town,ipswich
eaglepredict,Juventus,juventus
eaglepredict,Köln,fc-koln
eaglepredict,Lazio,lazio
eaglepredict,Le Havre,le-havre
eaglepredict,Le Mans,le-mans
eaglepredict,Lecce,lecce
eaglepredict,Leeds United,leeds-united
eaglepredict,Lens,lens
eaglepredict,Levante UD,levante
eaglepredict,Lille,lille
eaglepredict,Liverpool,liverpool
eaglepredict,Lorient,lorient
eaglepredict,Lyon,lyon
eaglepredict,Mainz 05,mainz-05
eaglepredict,Manchester City,manchester-city
eaglepredict,Manchester United,manchester-united
eaglepredict,Milan,milan
eaglepredict,Monaco,monaco
eaglepredict,Monza,monza
eaglepredict,Moreirense FC,moreirense-fc
eaglepredict,Málaga CF,m-laga-cf
eaglepredict,NEC,nijmegen
eaglepredict,Napoli,napoli
eaglepredict,Newcastle,newcastle
eaglepredict,Nice,nice
eaglepredict,Nottingham Forest,nottingham-forest
